 pp_0224  6441598.233980904 1865077.9286617297 2  1.156586218580816453199711091315293743e-03 
 pp_0225  6444820.000967988 1866445.487611442 9  1.101513378721410496910437792905668175e-03 
 pp_0226  6413969.890046865 1849548.131127234 9  1.18958489272941040151843061778436095e-03 
 pp_0227  6417191.657033948 1850915.6900769465 9  9.142190399811873837560005640057170240e-04 
 pp_0228  6420413.424021032 1852283.249026659 7  8.461817974906359150072399089026475849e-04 
 pp_0229  6423635.191008115 1853650.8079763714 7  9.886869591088829310743246736592482193e-04 
 pp_0230  6426856.957995199 1855018.3669260838 7  1.011959179882099442437937142358350684e-03 
 pp_0231  6430078.724982282 1856385.9258757962 3  8.985905747494719745041558134346360021e-04 
 pp_0232  6433300.491969366 1857753.4848255087 3  8.970473091811629771583080916741437250e-04 
 pp_0233  6436522.258956449 1859121.043775221 2  8.096561824924219594179497505592735251e-04 
 pp_0234  6439744.0259435335 1860488.6027249335 2  1.205838076636134162736291308704039693e-03 
 pp_0235  6442965.792930617 1861856.1616746462 2  8.961731504528103664161675645516424993e-04 
 pp_0236  6446187.5599177005 1863223.7206243586 9  1.000712733591656994347474096684891265e-03 
 pp_0237  6415337.448996577 1846326.3641401506 9  1.03735291663931768375850328567366887e-03 
 pp_0238  6418559.215983661 1847693.923089863 9  8.210310764339441959649978919344448514e-04 
 pp_0239  6421780.982970744 1849061.4820395755 9  1.058832395874886259795610854439473769e-03 
 pp_0240  6425002.749957828 1850429.040989288 7  1.153112272298773997511456279596586683e-03 
 pp_0241  6428224.516944911 1851796.5999390003 7  8.674661064161934623251148934741650010e-04 
 pp_0242  6431446.283931995 1853164.1588887128 3  1.119882824740029954660447408798518154e-03 
 pp_0243  6434668.050919078 1854531.7178384252 3  1.016977979347015665148590279898144217e-03 
 pp_0244  6437889.817906162 1855899.2767881376 3  1.182890975137971699068795139453413867e-03 
 pp_0245  6441111.584893246 1857266.83573785 2  6.986047001179842251550322629327638424e-04 
 pp_0246  6444333.35188033 1858634.3946875627 2  1.391079076345909555645352639885459212e-03 
 pp_0247  6447555.118867413 1860001.9536372751 9  8.629306542576248902770563731223774084e-04 
 pp_0248  6450776.885854497 1861369.5125869876 9  9.022066852751193253082129253073162545e-04 
 pp_0249  6416705.00794629 1843104.5971530671 9  9.13834101297808011100942682247705307e-04 
 pp_0250  6419926.774933374 1844472.1561027796 9  9.065018987743168931217607742212294397e-04 
 pp_0251  6423148.541920457 1845839.715052492 9  1.222354534709585785479113440032961080e-03 
 pp_0252  6426370.3089075405 1847207.2740022044 7  8.799946107268486958363773453584144590e-04 
 pp_0253  6429592.075894624 1848574.8329519168 7  9.052864563317216967802680827048789070e-04 
 pp_0254  6432813.8428817075 1849942.3919016293 3  1.049824152608626456548157612758132018e-03 
 pp_0255  6436035.609868791 1851309.9508513417 3  8.400918686103645742838108567696053797e-04 
 pp_0256  6439257.376855874 1852677.5098010541 3  9.609487626613655818219594806350869476e-04 
 pp_0257  6442479.143842959 1854045.0687507666 2  1.265985054941900925587483506262742594e-03 
 pp_0258  6445700.910830042 1855412.6277004792 2  8.424528009022059279325977954044901708e-04 
 pp_0259  6448922.677817126 1856780.1866501917 9  1.139283298730102336054903489070966316e-03 
 pp_0260  6418072.566896003 1839882.8301659834 9  1.21740283167254921201094752802873700e-03 
 pp_0261  6421294.333883086 1841250.3891156958 9  1.082224081726056164054483588188304566e-03 
 pp_0262  6424516.10087017 1842617.9480654083 9  1.360360900934950685939317516215396608e-03 
 pp_0263  6427737.867857253 1843985.5070151207 7  1.018792626002190107245559680393398594e-03 
 pp_0264  6430959.634844337 1845353.0659648331 7  1.312633851240977344784766067675718659e-03 
 pp_0265  6434181.40183142 1846720.6249145456 1  1.089519186755703080565771401211350167e-03 
 pp_0266  6437403.168818504 1848088.183864258 3  1.103960697561649252629312201179345720e-03 
 pp_0267  6440624.935805587 1849455.7428139704 3  1.128762148442341052556603386847200454e-03 
 pp_0268  6443846.7027926715 1850823.3017636829 2  9.052353270079877478257457390498075256e-04 
 pp_0269  6447068.469779755 1852190.8607133955 2  9.680080244162366301385880262841965305e-04 
 pp_0270  6450290.2367668385 1853558.419663108 2  1.173202359114083230887115583129798324e-03 
 pp_0271  6419440.1258457145 1836661.0631789 9  1.01184690115219263692458717684985459e-03 
 pp_0272  6422661.892832798 1838028.6221286124 9  1.343906941342758697144343926765941433e-03 
