 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     6.3600000E+03   1.1553654E+02   1.0694126E+04   8.9451760E+02   2.0238095E+00   1.0119047E+00
     6.3910000E+03   1.1553243E+02   7.5793475E+03   8.9451760E+02   2.0197053E+00   1.0098527E+00
     6.4210000E+03   1.1551443E+02   0.0000000E+00   8.9451760E+02   2.0017001E+00   1.0008500E+00
     6.4520000E+03   1.1558946E+02   8.0664914E+04   8.9451760E+02   2.0767355E+00   1.0383678E+00
     6.4830000E+03   1.1559166E+02   8.4590403E+04   8.9451760E+02   2.0789371E+00   1.0394685E+00
     6.5130000E+03   1.1556991E+02   4.9028528E+04   8.9451760E+02   2.0571827E+00   1.0285913E+00
     6.5440000E+03   1.1555556E+02   2.9944692E+04   8.9451760E+02   2.0428355E+00   1.0214178E+00
     6.5740000E+03   1.1659443E+02   6.7241103E+06   8.9451760E+02   3.0817066E+00   1.5408533E+00
     6.6050000E+03   1.1867873E+02   4.0285386E+07   8.9451760E+02   5.1660023E+00   2.5830011E+00
     6.6360000E+03   1.1817760E+02   3.0225967E+07   8.9451760E+02   4.6648757E+00   2.3324379E+00
     6.6650000E+03   1.1555610E+02   3.0587836E+04   8.9451760E+02   2.0433683E+00   1.0216842E+00
     6.6960000E+03   1.1552763E+02   4.4160570E+03   8.9451760E+02   2.0149018E+00   1.0074509E+00
     6.7260000E+03   1.1563137E+02   1.6762433E+05   8.9451760E+02   2.1186477E+00   1.0593238E+00
     6.7570000E+03   1.1551278E+02   0.0000000E+00   8.9451760E+02   2.0000535E+00   1.0000268E+00
     6.7870000E+03   1.1551279E+02   0.0000000E+00   8.9451760E+02   2.0000679E+00   1.0000340E+00
     6.8180000E+03   1.1559395E+02   8.8774987E+04   8.9451760E+02   2.0812273E+00   1.0406136E+00
     6.8490000E+03   1.1559113E+02   8.3623070E+04   8.9451760E+02   2.0783992E+00   1.0391996E+00
     6.8790000E+03   1.1556809E+02   4.6412175E+04   8.9451760E+02   2.0553652E+00   1.0276826E+00
     6.9100000E+03   1.1551279E+02   0.0000000E+00   8.9451760E+02   2.0000584E+00   1.0000292E+00
     6.9400000E+03   1.1734469E+02   1.6174197E+07   8.9451760E+02   3.8319618E+00   1.9159809E+00
     6.9710000E+03   1.1701642E+02   1.1646329E+07   8.9451760E+02   3.5036946E+00   1.7518473E+00
     7.0020000E+03   1.1586614E+02   1.0402715E+06   8.9451760E+02   2.3534088E+00   1.1767044E+00
     7.0300000E+03   1.1565888E+02   2.3782477E+05   8.9451760E+02   2.1461563E+00   1.0730782E+00
     7.0610000E+03   1.1823354E+02   3.1288920E+07   8.9451760E+02   4.7208161E+00   2.3604081E+00
     7.0910000E+03   1.1552699E+02   4.0384411E+03   8.9451760E+02   2.0142641E+00   1.0071321E+00
     7.1220000E+03   1.1551831E+02   1.6032405E+02   8.9451760E+02   2.0055815E+00   1.0027908E+00
     7.1520000E+03   1.1551280E+02   0.0000000E+00   8.9451760E+02   2.0000707E+00   1.0000353E+00
     7.1830000E+03   1.1558987E+02   8.1386767E+04   8.9451760E+02   2.0771414E+00   1.0385707E+00
     7.2140000E+03   1.1558874E+02   7.9377101E+04   8.9451760E+02   2.0760109E+00   1.0380054E+00
     7.2440000E+03   1.1552643E+02   3.7215247E+03   8.9451760E+02   2.0137011E+00   1.0068505E+00
     7.2750000E+03   1.1574003E+02   4.9712675E+05   8.9451760E+02   2.2273004E+00   1.1136502E+00
     7.3050000E+03   1.1570798E+02   3.8593586E+05   8.9451760E+02   2.1952519E+00   1.0976260E+00
     7.3360000E+03   1.1551276E+02   0.0000000E+00   8.9451760E+02   2.0000308E+00   1.0000154E+00
     7.3670000E+03   1.1788662E+02   2.4933471E+07   8.9451760E+02   4.3738980E+00   2.1869490E+00
     7.3950000E+03   1.1674202E+02   8.3232623E+06   8.9451760E+02   3.2292881E+00   1.6146440E+00
     7.4260000E+03   1.1551437E+02   0.0000000E+00   8.9451760E+02   2.0016404E+00   1.0008202E+00
