parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
drn_k_i:185_j:59_zone:1,log,factor,1233.31,10.0,10000.0,drn_k,1.0,0.0,1,185,59,1,6446581.820692096,1844379.767789516
drn_k_i:185_j:66_zone:2,log,factor,1163.28,10.0,10000.0,drn_k,1.0,0.0,1,185,66,2,6449803.587679179,1845747.3267392288
drn_k_i:185_j:73_zone:2,log,factor,1397.85,10.0,10000.0,drn_k,1.0,0.0,1,185,73,2,6453025.354666263,1847114.885688941
drn_k_i:185_j:80_zone:2,log,factor,884.751,10.0,10000.0,drn_k,1.0,0.0,1,185,80,2,6456247.121653346,1848482.4446386532
drn_k_i:192_j:10_zone:9,log,factor,1484.95,10.0,10000.0,drn_k,1.0,0.0,1,192,10,9,6425397.010732223,1831585.0881544452
drn_k_i:192_j:17_zone:9,log,factor,1426.99,10.0,10000.0,drn_k,1.0,0.0,1,192,17,9,6428618.777719307,1832952.6471041576
drn_k_i:192_j:24_zone:9,log,factor,1389.05,10.0,10000.0,drn_k,1.0,0.0,1,192,24,9,6431840.54470639,1834320.2060538705
drn_k_i:192_j:31_zone:1,log,factor,1339.84,10.0,10000.0,drn_k,1.0,0.0,1,192,31,1,6435062.311693474,1835687.7650035827
drn_k_i:192_j:38_zone:1,log,factor,1363.95,10.0,10000.0,drn_k,1.0,0.0,1,192,38,1,6438284.078680557,1837055.3239532951
drn_k_i:192_j:3_zone:9,log,factor,1791.13,10.0,10000.0,drn_k,1.0,0.0,1,192,3,9,6422175.24374514,1830217.529204733
drn_k_i:192_j:45_zone:1,log,factor,1279.4,10.0,10000.0,drn_k,1.0,0.0,1,192,45,1,6441505.845667641,1838422.882903008
drn_k_i:192_j:52_zone:1,log,factor,1189.87,10.0,10000.0,drn_k,1.0,0.0,1,192,52,1,6444727.612654724,1839790.44185272
drn_k_i:192_j:59_zone:1,log,factor,870.012,10.0,10000.0,drn_k,1.0,0.0,1,192,59,1,6447949.379641809,1841158.0008024324
