         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT        WEL_V1_IN       WEL_V1_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1974-12-01T00:00:00    61     1           31.0         1857.0     4.8093172E+8     4.9564325E+8              0.0              0.0     9.7146656E+6     125439.01580        265.83757              0.0      32171.78865              0.0              0.0       5668.90956     426799.42868     191613.68434    1.2672382E-10    1.7583966E-10              0.0              0.0     1.1748844E+7     6.8884897E+6      0.0018108  3.6011388E-10
1975-01-01T00:00:00    62     1           31.0         1888.0     4.8318548E+8     4.9175875E+8              0.0              0.0     8.2146802E+6     127250.42180        265.83725              0.0      33110.60953              0.0              0.0       5699.93506     308624.70710     234976.46245    1.6435335E-10    1.7168358E-10              0.0              0.0     5.6239729E+6     5.2394627E+6      0.0011157  2.2432958E-10
1975-02-01T00:00:00    63     1           28.0         1916.0     4.6050267E+8     5.0868475E+8              0.0              0.0     2.1102163E+7     131798.06780        265.83696              0.0      33110.60953              0.0              0.0       5734.85675     782024.90588     145196.81752    2.0466678E-10    1.3960903E-10              0.0              0.0     3.5222533E+7     8.6752863E+6      0.0061087   1.1800998E-9
1975-03-01T00:00:00    64     1           31.0         1947.0     4.7349145E+8     4.9320953E+8              0.0              0.0     2.0273982E+7     127250.42180        265.83664              0.0      33110.60953              0.0              0.0       5765.22200     568293.34517     169470.81737    1.9944695E-10    2.2507811E-10              0.0              0.0     2.0371700E+7     2.1226792E+7      0.0031186  6.0585575E-10
1975-04-01T00:00:00    65     1           30.0         1977.0     4.9409927E+8     4.8025184E+8              0.0              0.0       4409.69518     137122.31080        265.83633              0.0      33110.60953              0.0              0.0       5790.61438     267451.44723     272939.42444    1.5873088E-10    1.5192606E-10              0.0     1.3344192E+6     3.4738546E+6     1.5876249E+7      0.0166838   3.3509825E-9
1975-05-01T00:00:00    66     1           31.0         2008.0     5.0499282E+8     4.7074953E+8              0.0              0.0              0.0     156055.72580        265.83600              0.0      33110.60953              0.0              0.0       5808.74937     171540.84743     352849.62434    1.6136726E-10    2.7368476E-10              0.0     4.7605546E+6     955101.87273     3.0128074E+7     29.7370463   5.8751119E-6
1975-06-01T00:00:00    67     1           30.0         2038.0     5.0210854E+8     4.6804875E+8              0.0              0.0              0.0     177500.52580        265.83569              0.0      33110.60953              0.0              0.0       5825.29298     165247.46259     354598.13437    1.3767286E-10    1.5507054E-10              0.0     1.6859492E+6     384537.01236     3.2419075E+7      5.8156682   1.1569055E-6
1975-07-01T00:00:00    68     1           31.0         2069.0     5.3034655E+8     4.5139648E+8              0.0              0.0              0.0     186706.33980        265.83537              0.0      33110.60953              0.0              0.0       5822.58708     192203.50618     346584.39241    1.7998657E-10    1.6807584E-10              0.0     3.3223310E+6     804933.13782     7.6119136E+7      1.0884262   2.0483123E-7
1975-08-01T00:00:00    69     1           31.0         2100.0     5.2386987E+8     4.5241171E+8              0.0              0.0              0.0     187187.96280        265.83505              0.0      33110.60953              0.0              0.0       5823.59584     170363.74768     351998.16381    2.2880642E-10    1.6367116E-10              0.0     3.4539169E+6     674179.08422     6.8337157E+7      2.3948636   4.5638374E-7
1975-09-01T00:00:00    70     1           30.0         2130.0     5.1318654E+8     4.5553275E+8              0.0              0.0              0.0     180485.39080        265.83474              0.0      33110.60953              0.0              0.0       5830.89508     145131.69319     355904.22094    1.6967384E-10    1.7301051E-10              0.0     3.2067496E+6     567086.15170     5.4650649E+7      235.34404   4.5792815E-5
